AAAAA1	AAAAA19
AAAAA299	AAAAA77
AAAAA300	AAAAA77
AAAAA301	AAAAA77
AAAAA302	AAAAA77
AAAAA303	AAAAA77
AAAAA304	AAAAA77
AAAAA305	AAAAA77
AAAAA306	AAAAA77
AAAAA307	AAAAA77
AAAAA308	AAAAA77
AAAAA309	AAAAA77
AAAAA310	AAAAA77
AAAAA311	AAAAA77
AAAAA312	AAAAA77
AAAAA313	AAAAA77
AAAAA314	AAAAA77
AAAAA315	AAAAA77
AAAAA316	AAAAA77
AAAAA317	AAAAA77
AAAAA318	AAAAA77
AAAAA319	AAAAA77
AAAAA320	AAAAA77
AAAAA321	AAAAA77
AAAAA322	AAAAA77
AAAAA323	AAAAA77
AAAAA324	AAAAA77
AAAAA325	AAAAA77
AAAAA326	AAAAA77
AAAAA327	AAAAA77
AAAAA328	AAAAA77
AAAAA329	AAAAA77
AAAAA330	AAAAA77
AAAAA331	AAAAA77
AAAAA332	AAAAA77
AAAAA333	AAAAA77
AAAAA334	AAAAA77
AAAAA335	AAAAA77
AAAAA336	AAAAA77
AAAAA337	AAAAA77
AAAAA338	AAAAA77
AAAAA339	AAAAA77
AAAAA340	AAAAA77
AAAAA341	AAAAA77
AAAAA342	AAAAA77
AAAAA343	AAAAA77
AAAAA344	AAAAA77
AAAAA345	AAAAA77
AAAAA346	AAAAA77
AAAAA347	AAAAA77
AAAAA348	AAAAA77
AAAAA349	AAAAA77
AAAAA350	AAAAA77
AAAAA351	AAAAA77
AAAAA352	AAAAA77
AAAAA353	AAAAA77
AAAAA354	AAAAA77
AAAAA355	AAAAA2
AAAAA356	AAAAA3
AAAAA357	AAAAA4
AAAAA358	AAAAA5
AAAAA359	AAAAA3
AAAAA360	AAAAA3
AAAAA361	AAAAA3
AAAAA362	AAAAA3
AAAAA363	AAAAA3
AAAAA364	AAAAA3
AAAAA365	AAAAA3
AAAAA366	AAAAA3
AAAAA367	AAAAA3
AAAAA368	AAAAA3
AAAAA369	AAAAA3
AAAAA370	AAAAA3
AAAAA371	AAAAA3
AAAAA372	AAAAA3
AAAAA373	AAAAA3
AAAAA374	AAAAA3
AAAAA375	AAAAA3
AAAAA376	AAAAA3
AAAAA377	AAAAA3
AAAAA378	AAAAA3
AAAAA379	AAAAA3
AAAAA380	AAAAA3
AAAAA381	AAAAA3
AAAAA382	AAAAA3
AAAAA383	AAAAA3
AAAAA384	AAAAA3
AAAAA385	AAAAA3
AAAAA386	AAAAA4
AAAAA387	AAAAA5
AAAAA388	AAAAA6
AAAAA389	AAAAA7
AAAAA390	AAAAA8
AAAAA391	AAAAA9
AAAAA392	AAAAA10
AAAAA393	AAAAA11
AAAAA394	AAAAA12
AAAAA395	AAAAA13
AAAAA396	AAAAA14
AAAAA397	AAAAA15
AAAAA398	AAAAA10
AAAAA399	AAAAA10
AAAAA400	AAAAA10
AAAAA401	AAAAA10
AAAAA402	AAAAA10
AAAAA403	AAAAA10
AAAAA404	AAAAA10
AAAAA405	AAAAA10
AAAAA406	AAAAA10
AAAAA407	AAAAA10
AAAAA408	AAAAA10
AAAAA409	AAAAA10
AAAAA410	AAAAA10
AAAAA411	AAAAA10
AAAAA412	AAAAA10
AAAAA413	AAAAA10
AAAAA414	AAAAA10
AAAAA415	AAAAA10
AAAAA416	AAAAA10
AAAAA417	AAAAA10
AAAAA418	AAAAA10
AAAAA419	AAAAA10
AAAAA420	AAAAA10
AAAAA421	AAAAA10
AAAAA422	AAAAA10
AAAAA423	AAAAA10
AAAAA424	AAAAA10
AAAAA425	AAAAA10
AAAAA426	AAAAA10
AAAAA427	AAAAA10
AAAAA428	AAAAA10
AAAAA429	AAAAA10
AAAAA430	AAAAA10
AAAAA431	AAAAA10
AAAAA432	AAAAA10
AAAAA433	AAAAA10
AAAAA434	AAAAA10
AAAAA435	AAAAA10
AAAAA436	AAAAA10
AAAAA437	AAAAA10
AAAAA438	AAAAA10
AAAAA439	AAAAA10
AAAAA440	AAAAA10
AAAAA441	AAAAA10
AAAAA442	AAAAA10
AAAAA443	AAAAA10
AAAAA444	AAAAA10
AAAAA445	AAAAA10
AAAAA446	AAAAA10
AAAAA447	AAAAA10
AAAAA448	AAAAA10
AAAAA449	AAAAA10
AAAAA450	AAAAA10
AAAAA451	AAAAA10
AAAAA452	AAAAA10
AAAAA453	AAAAA10
AAAAA454	AAAAA10
AAAAA455	AAAAA10
AAAAA456	AAAAA10
AAAAA457	AAAAA10
AAAAA458	AAAAA10
AAAAA459	AAAAA10
AAAAA460	AAAAA10
AAAAA461	AAAAA10
AAAAA462	AAAAA10
AAAAA463	AAAAA10
AAAAA464	AAAAA10
AAAAA465	AAAAA10
AAAAA466	AAAAA10
AAAAA467	AAAAA10
AAAAA468	AAAAA10
AAAAA469	AAAAA10
AAAAA470	AAAAA10
AAAAA471	AAAAA10
AAAAA472	AAAAA10
AAAAA473	AAAAA10
AAAAA474	AAAAA10
AAAAA475	AAAAA10
AAAAA476	AAAAA10
AAAAA477	AAAAA10
AAAAA478	AAAAA10
AAAAA479	AAAAA10
AAAAA480	AAAAA10
AAAAA481	AAAAA10
AAAAA482	AAAAA10
AAAAA483	AAAAA10
AAAAA484	AAAAA10
AAAAA485	AAAAA10
AAAAA486	AAAAA10
AAAAA487	AAAAA10
AAAAA488	AAAAA10
AAAAA489	AAAAA10
AAAAA490	AAAAA10
AAAAA491	AAAAA10
AAAAA492	AAAAA10
AAAAA493	AAAAA10
AAAAA494	AAAAA10
AAAAA495	AAAAA489
AAAAA496	AAAAA490
AAAAA497	AAAAA489
AAAAA498	AAAAA490
AAAAA499	AAAAA489
AAAAA500	AAAAA490
